scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_71,viscosity,zn_dispersant,Дисперсант_11,Дисперсант_2,Дисперсант,Дисперсант,02688.24,01025.23,0.26018720865249634,0.3212641477584839,0.322515070438385,2.511155843734741,-26.04
train_71,viscosity,zn_dispersant,Дисперсант_11,Противоизносная_присадка_1,Дисперсант,Противоизносная,02688.24,0812.24,0.04975227639079094,0.14050377905368805,0.15652576088905334,2.262242317199707,-26.04
train_71,viscosity,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_1,Дисперсант,Противоизносная,01025.23,0812.24,0.7161473035812378,0.5724818706512451,0.494276762008667,2.5308732986450195,-26.04
train_72,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_9,Антиоксидант,Антиоксидант,01028.23,03606.23(2023101002),0.011166558600962162,0.28507092595100403,0.015018264763057232,2.6082346439361572,-25.32
train_72,viscosity,ao_mo,Антиоксидант_1,Соединение_молибдена_1,Антиоксидант,Соединение,01028.23,COMP-2023-0003-M,0.006388468202203512,0.2314019650220871,0.007087655831128359,3.8951759338378906,-25.32
train_72,viscosity,ao_mo,Антиоксидант_9,Соединение_молибдена_1,Антиоксидант,Соединение,03606.23(2023101002),COMP-2023-0003-M,0.0006125611835159361,0.04892566427588463,0.005889353808015585,2.125910997390747,-25.32
train_72,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_1,Детергент,Противоизносная,03203.23,0812.24,0.0011386920232325792,0.5777077078819275,0.0007429815013892949,2.652895212173462,-25.32
train_72,viscosity,zn_dispersant,Детергент_2,Дисперсант_12,Детергент,Дисперсант,01297.23,02689.24,0.007377133704721928,0.7119143605232239,0.003391936421394348,3.055006742477417,-25.32
train_72,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_1,Детергент,Противоизносная,01297.23,0812.24,0.0009995349682867527,0.5426848530769348,0.0006320943357422948,2.913857936859131,-25.32
train_72,viscosity,zn_dispersant,Дисперсант_12,Дисперсант_2,Дисперсант,Дисперсант,02689.24,01025.23,0.01936831697821617,0.20255282521247864,0.06279237568378448,1.5228132009506226,-25.32
train_72,viscosity,zn_dispersant,Дисперсант_12,Противоизносная_присадка_1,Дисперсант,Противоизносная,02689.24,0812.24,0.08950154483318329,0.39368245005607605,0.20910534262657166,1.0872248411178589,-25.32
train_72,viscosity,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_1,Дисперсант,Противоизносная,01025.23,0812.24,1.0074635744094849,0.5724818706512451,0.6953399777412415,2.5308732986450195,-25.32
train_73,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_9,Антиоксидант,Антиоксидант,01028.23,03606.23(2023101002),0.010324290953576565,0.28507092595100403,0.013885472901165485,2.6082346439361572,-27.28
