model_type,config_id,fold,n_features,rmse,mae,r2,target_name,dataset_name
pls,ncomp_11,3,,436.23192750834215,265.0543243604559,-0.5021014155582539,viscosity,viscosity_focus
pls,ncomp_11,4,,75.62512962500739,48.34867706623393,-5.636885247413509,viscosity,viscosity_focus
pls,ncomp_11,5,,100.99233934403526,84.11654873825245,-6.490017791815738,viscosity,viscosity_focus
pls,ncomp_12,1,,107.43007480812628,94.41986200446985,-15.527271157617541,viscosity,viscosity_focus
pls,ncomp_12,2,,76.39919475136094,70.24882591458113,-12.107418784670026,viscosity,viscosity_focus
pls,ncomp_12,3,,438.1104749541375,266.71603329696046,-0.5150662826245012,viscosity,viscosity_focus
pls,ncomp_12,4,,82.04365791717272,49.74120828096415,-6.8112776482802975,viscosity,viscosity_focus
pls,ncomp_12,5,,104.94195496146278,88.87685346225697,-7.087313635082857,viscosity,viscosity_focus
mlp,relu_small,1,29.0,40.6907708432599,31.85933488295675,-1.4218272504306184,oxidation,compact_v3_full
mlp,relu_small,2,29.0,32.15523297715101,24.33479212661128,0.40141733259622747,oxidation,compact_v3_full
mlp,relu_small,3,30.0,68.23470525760638,50.87055777608933,-2.2068854344498345,oxidation,compact_v3_full
mlp,relu_small,4,30.0,33.83630700266882,25.950344399287655,-0.20799231491966208,oxidation,compact_v3_full
mlp,relu_small,5,30.0,31.978962442133465,22.392394892654412,-3.6720812619786756,oxidation,compact_v3_full
mlp,relu_mid,1,29.0,32.29776509795552,26.37265612855902,-0.5257952915848594,oxidation,compact_v3_full
mlp,relu_mid,2,29.0,36.76972278207771,26.933044104404868,0.2172888377973604,oxidation,compact_v3_full
mlp,relu_mid,3,30.0,52.21548159059457,44.3921100548918,-0.8778953261998874,oxidation,compact_v3_full
mlp,relu_mid,4,30.0,31.523001360189557,22.086133290592684,-0.048463652855555095,oxidation,compact_v3_full
mlp,relu_mid,5,30.0,16.699005872928513,11.888544655342379,-0.27398080600657826,oxidation,compact_v3_full
mlp,relu_wide,1,29.0,40.71596543808587,32.96143494038346,-1.4248272351962195,oxidation,compact_v3_full
mlp,relu_wide,2,29.0,39.85638115426704,33.89982097548052,0.08036277346875798,oxidation,compact_v3_full
mlp,relu_wide,3,30.0,81.35709349890276,56.64028732713762,-3.5589376753442554,oxidation,compact_v3_full
mlp,relu_wide,4,30.0,25.0053850134175,18.23032945840291,0.34027134231874223,oxidation,compact_v3_full
mlp,relu_wide,5,30.0,22.61760586150049,13.5809172183813,-1.3370871815951402,oxidation,compact_v3_full
mlp,tanh_mid,1,29.0,33.80454646205445,27.00606872005036,-0.6714814240426259,oxidation,compact_v3_full
mlp,tanh_mid,2,29.0,28.991114925600307,22.926299021135524,0.5134240365914886,oxidation,compact_v3_full
mlp,tanh_mid,3,30.0,38.15963709097171,32.78215622317139,-0.0029546051082598446,oxidation,compact_v3_full
mlp,tanh_mid,4,30.0,150.15738586872007,88.71454320066613,-22.789847372245767,oxidation,compact_v3_full
mlp,tanh_mid,5,30.0,33.88688887227643,21.05961071286617,-4.246202461670185,oxidation,compact_v3_full
mlp,tanh_wide,1,29.0,32.7781849821757,26.84035051783279,-0.5715244089290079,oxidation,compact_v3_full
mlp,tanh_wide,2,29.0,35.200725139265046,26.095005537163356,0.2826616718295146,oxidation,compact_v3_full
mlp,tanh_wide,3,30.0,40.327308032186316,35.238298682217916,-0.12013732840264435,oxidation,compact_v3_full
mlp,tanh_wide,4,30.0,38.03991777071962,29.086036401393827,-0.5267832854694241,oxidation,compact_v3_full
mlp,tanh_wide,5,30.0,24.239139111301437,15.95383025582819,-1.6842071713300406,oxidation,compact_v3_full
mlp,relu_deep,1,29.0,48.35381996970991,36.21744803681662,-2.4198960502281994,oxidation,compact_v3_full
mlp,relu_deep,2,29.0,37.91880725694555,28.42228233710708,0.1676036786590076,oxidation,compact_v3_full
mlp,relu_deep,3,30.0,147.0084415774828,124.08123970261956,-13.885291798683857,oxidation,compact_v3_full
mlp,relu_deep,4,30.0,28.474792702949127,22.067058167737795,0.14450120908670483,oxidation,compact_v3_full
mlp,relu_deep,5,30.0,31.708100190636536,24.377705549608176,-3.593271257349963,oxidation,compact_v3_full
ridge,alpha_0.1,1,,24.44979557518667,20.68451557804319,0.12561682575440503,oxidation,compact_v3_full
ridge,alpha_0.1,2,,21.77385845582665,16.592939013277622,0.7255320700229506,oxidation,compact_v3_full
ridge,alpha_0.1,3,,96.31920410025668,84.76656563593951,-5.389966418507891,oxidation,compact_v3_full
ridge,alpha_0.1,4,,24.806602375463797,17.602352365842435,0.3507187989499567,oxidation,compact_v3_full
ridge,alpha_0.1,5,,38.60588965303256,26.109446839927646,-5.809085381798533,oxidation,compact_v3_full
ridge,alpha_0.3,1,,21.64344793873636,17.901967163657606,0.31482071757573216,oxidation,compact_v3_full
ridge,alpha_0.3,2,,22.216061388982173,18.105984878665375,0.7142705865011383,oxidation,compact_v3_full
ridge,alpha_0.3,3,,89.42226290846914,76.13416181552034,-4.507621884886801,oxidation,compact_v3_full
ridge,alpha_0.3,4,,24.04216491287544,17.116444486745532,0.39011858185274295,oxidation,compact_v3_full
ridge,alpha_0.3,5,,41.918663109653004,27.350298340361647,-7.027799126525329,oxidation,compact_v3_full
ridge,alpha_1.0,1,,20.585329124092265,16.96248323447292,0.3801780425409377,oxidation,compact_v3_full
ridge,alpha_1.0,2,,23.006633734399855,19.68882936121163,0.6935730395777129,oxidation,compact_v3_full
ridge,alpha_1.0,3,,75.53382746744792,63.386039809022826,-2.9296673551308303,oxidation,compact_v3_full
ridge,alpha_1.0,4,,23.467881156306365,17.098970259775033,0.41890649886217535,oxidation,compact_v3_full
ridge,alpha_1.0,5,,43.020276069682296,27.69665478515678,-7.45528081811384,oxidation,compact_v3_full
ridge,alpha_3.0,1,,21.739304500226176,17.500786394439736,0.3087381033129122,oxidation,compact_v3_full
ridge,alpha_3.0,2,,23.17698410286919,19.70198643412639,0.689018422773124,oxidation,compact_v3_full
ridge,alpha_3.0,3,,59.507466947460664,48.13360978921214,-1.4390220879598963,oxidation,compact_v3_full
ridge,alpha_3.0,4,,22.840287383122693,16.521955565266268,0.44957090011325795,oxidation,compact_v3_full
ridge,alpha_3.0,5,,41.32497561643086,26.704896452671747,-6.802016455852052,oxidation,compact_v3_full
ridge,alpha_10.0,1,,24.26910171349639,19.134185300969065,0.13849315807056894,oxidation,compact_v3_full
ridge,alpha_10.0,2,,24.141589823814606,18.45027254437118,0.662594195444435,oxidation,compact_v3_full
ridge,alpha_10.0,3,,44.01500313490698,37.94280827747155,-0.3343638860353948,oxidation,compact_v3_full
ridge,alpha_10.0,4,,22.035379086473156,16.326557208842814,0.48768235897618206,oxidation,compact_v3_full
ridge,alpha_10.0,5,,37.68510080135568,24.735830215575888,-5.488151953278828,oxidation,compact_v3_full
ridge,alpha_30.0,1,,26.526973751795246,20.455918215191044,-0.02926390418871505,oxidation,compact_v3_full
ridge,alpha_30.0,2,,27.197656419293825,19.394177123543464,0.5717633998875784,oxidation,compact_v3_full
ridge,alpha_30.0,3,,38.11096488199417,33.62249847703901,-0.0003977210443326662,oxidation,compact_v3_full
ridge,alpha_30.0,4,,22.49375198131812,17.534907039179394,0.4661465392670363,oxidation,compact_v3_full
ridge,alpha_30.0,5,,32.80864703300588,22.33353138185816,-3.9176576627969695,oxidation,compact_v3_full
ridge,alpha_100.0,1,,26.718924100690142,20.426817318540373,-0.04421339455775519,oxidation,compact_v3_full
ridge,alpha_100.0,2,,31.113078872652014,24.610118856868315,0.4395888132210821,oxidation,compact_v3_full
ridge,alpha_100.0,3,,38.754827793726015,32.772918951598484,-0.03448554863815079,oxidation,compact_v3_full
ridge,alpha_100.0,4,,24.308615774865714,19.603625875296895,0.3765254703870111,oxidation,compact_v3_full
ridge,alpha_100.0,5,,26.815421663612398,20.642572766529003,-2.2851175244799085,oxidation,compact_v3_full
pls,ncomp_2,1,,37.10522376203756,29.895516106766237,-1.0138236511873555,oxidation,compact_v3_full
pls,ncomp_2,2,,33.178665951497216,26.052081922117917,0.3627077224024414,oxidation,compact_v3_full
pls,ncomp_2,3,,47.942977426233035,35.91602087407977,-0.583152710054629,oxidation,compact_v3_full
pls,ncomp_2,4,,27.20209003695579,21.754790429971422,0.2192665165402412,oxidation,compact_v3_full
pls,ncomp_2,5,,21.985383519138573,18.160686296811075,-1.2082576414916302,oxidation,compact_v3_full
pls,ncomp_3,1,,41.52659021028805,33.66856570612613,-1.522341420325941,oxidation,compact_v3_full
pls,ncomp_3,2,,29.410637668437644,21.10718509180108,0.49923992283298724,oxidation,compact_v3_full
pls,ncomp_3,3,,43.660337513460064,36.239575436684795,-0.3129463571890472,oxidation,compact_v3_full
pls,ncomp_3,4,,24.851854697609035,20.080285507168202,0.3483477946062433,oxidation,compact_v3_full
pls,ncomp_3,5,,33.61495212618659,24.412477654962817,-4.162340471576067,oxidation,compact_v3_full
pls,ncomp_4,1,,29.9283244020871,24.024635728035236,-0.31013525237321327,oxidation,compact_v3_full
pls,ncomp_4,2,,31.180417530840412,21.662406879639164,0.43716036984248463,oxidation,compact_v3_full
pls,ncomp_4,3,,36.37665313813477,30.797351584648656,0.0885805692698024,oxidation,compact_v3_full
pls,ncomp_4,4,,24.013962308364395,19.992980196349365,0.39154858253229674,oxidation,compact_v3_full
pls,ncomp_4,5,,33.168387362328,24.052990330049,-4.0260911858496815,oxidation,compact_v3_full
pls,ncomp_5,1,,27.5702253059922,22.467914315817712,-0.111813537264557,oxidation,compact_v3_full
pls,ncomp_5,2,,26.82883234249102,18.573477195876958,0.5832991761247027,oxidation,compact_v3_full
pls,ncomp_5,3,,41.802628073877486,34.00591196253657,-0.2035938985545287,oxidation,compact_v3_full
pls,ncomp_5,4,,23.435424580936424,17.412340546423394,0.4205127165510254,oxidation,compact_v3_full
pls,ncomp_5,5,,35.476842647737456,24.431471989553433,-4.750049368696565,oxidation,compact_v3_full
pls,ncomp_6,1,,28.401970994114624,22.41078625994045,-0.17990838198920578,oxidation,compact_v3_full
pls,ncomp_6,2,,24.18180908083762,18.402832963095445,0.6614690404996573,oxidation,compact_v3_full
pls,ncomp_6,3,,38.56754606913285,34.585889738184434,-0.024511456313623503,oxidation,compact_v3_full
pls,ncomp_6,4,,22.198844816884527,15.814988307103162,0.48005308187354556,oxidation,compact_v3_full
pls,ncomp_6,5,,37.176871054118436,24.32658093327571,-5.314330653392863,oxidation,compact_v3_full
pls,ncomp_7,1,,24.915167712765392,19.164280586393605,0.09201440824963214,oxidation,compact_v3_full
pls,ncomp_7,2,,18.877733722413186,15.16246333875876,0.7936898817800533,oxidation,compact_v3_full
pls,ncomp_7,3,,39.758587275470255,34.87700221107511,-0.08876636042985275,oxidation,compact_v3_full
pls,ncomp_7,4,,22.56841189112648,16.61023832668511,0.462596789319513,oxidation,compact_v3_full
pls,ncomp_7,5,,42.36171359827908,27.11926038598055,-7.19839217810998,oxidation,compact_v3_full
pls,ncomp_8,1,,24.013786161364443,18.936280677260644,0.15652424201268966,oxidation,compact_v3_full
pls,ncomp_8,2,,21.600100052875735,18.50285629889529,0.729895175298547,oxidation,compact_v3_full
pls,ncomp_8,3,,45.26332313131817,38.747322225615015,-0.4111256192883814,oxidation,compact_v3_full
pls,ncomp_8,4,,25.632476473107474,19.19950316854551,0.30676673744529237,oxidation,compact_v3_full
pls,ncomp_8,5,,42.60982859413309,26.588709558295193,-7.294710335114612,oxidation,compact_v3_full
pls,ncomp_9,1,,19.943606847874463,14.398562679439465,0.41822006911744336,oxidation,compact_v3_full
pls,ncomp_9,2,,23.35904602229201,20.37998826111208,0.6841135328520589,oxidation,compact_v3_full
pls,ncomp_9,3,,51.00757963891208,42.08071616121977,-0.7920174644019187,oxidation,compact_v3_full
pls,ncomp_9,4,,24.505767067871634,18.352092258861703,0.36637127091538235,oxidation,compact_v3_full
pls,ncomp_9,5,,44.144121983531605,28.30930742534611,-7.9028163856185305,oxidation,compact_v3_full
pls,ncomp_10,1,,19.253085548336653,14.393613964600256,0.45780936951083573,oxidation,compact_v3_full
pls,ncomp_10,2,,24.873211466157713,22.028908664501582,0.641833848533202,oxidation,compact_v3_full
pls,ncomp_10,3,,63.02588293091807,52.12493856937076,-1.7359659118047905,oxidation,compact_v3_full
pls,ncomp_10,4,,24.493905630569504,18.583711634837414,0.36698450848612296,oxidation,compact_v3_full
pls,ncomp_10,5,,43.2874620529122,27.749538990401287,-7.560633369137859,oxidation,compact_v3_full
pls,ncomp_11,1,,19.48321231692199,14.80487288979069,0.44477060090725395,oxidation,compact_v3_full
pls,ncomp_11,2,,25.291381790159264,22.340418191103886,0.6296895811487162,oxidation,compact_v3_full
pls,ncomp_11,3,,68.07791465679874,57.45489886781521,-2.192164719793938,oxidation,compact_v3_full
pls,ncomp_11,4,,25.011210155905758,19.105071928752952,0.3399639316503509,oxidation,compact_v3_full
pls,ncomp_11,5,,41.71601174993671,26.588912651812077,-6.950367649269462,oxidation,compact_v3_full
pls,ncomp_12,1,,21.418825994487964,17.473225093666823,0.3289688940598502,oxidation,compact_v3_full
pls,ncomp_12,2,,25.873482907867423,22.85206109856652,0.6124474446342685,oxidation,compact_v3_full
pls,ncomp_12,3,,70.79476422209314,59.827738103904096,-2.452034159570052,oxidation,compact_v3_full
pls,ncomp_12,4,,26.370789570705202,19.99794600391507,0.26625606511926714,oxidation,compact_v3_full
