feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
base_oil__kv40__wm,0.048219572595958424,0.08316602993243366,-0.11002158751746835,-0.1077915273234883,0.07050498534803196,0.08429015435038446,-0.13623833291884557,-0.1033127636050249
detergent__tbn_astm__wm,-0.09230487346306487,0.1353460126050064,0.07264520573771219,-0.14227394179005343,-0.052971403459940156,0.023373754959637456,-0.11809575536785728,-0.01041874647288825
polymer__weight_avg_mw__count,-0.05647539920483937,0.048615806675401614,-0.11807362791079708,0.06617885404718914,-0.02380689484890673,-0.08493595359934404,0.017522787194626816,0.06432803905263819
catcount__polymer__соотношение_мономеров_(eo:po)__eo_po_ratio,-0.05647539920483937,0.048615806675401614,-0.11807362791079708,0.06617885404718914,-0.02380689484890673,-0.08493595359934404,0.017522787194626816,0.06432803905263819
textnum__polymer__соотношение_мономеров_(eo:po)__has_text_value__count,-0.05647539920483937,0.048615806675401614,-0.11807362791079708,0.06617885404718914,-0.02380689484890673,-0.08493595359934404,0.017522787194626816,0.06432803905263819
textnum__polymer__соотношение_мономеров_(eo:po)__text_length__count,-0.05647539920483937,0.048615806675401614,-0.11807362791079708,0.06617885404718914,-0.02380689484890673,-0.08493595359934404,0.017522787194626816,0.06432803905263819
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__max,0.03335590696578031,-0.003551934652337147,-0.11609220400013828,0.16263618204190783,-0.11167719111161406,0.10200807530335675,0.03089877952680767,-0.0894902235024006
detergent__metal_content_pct__wm,-0.08564551230630255,0.11928431879365096,0.04268221563412189,-0.12410289689320195,-0.03769010730657349,0.0018635523974234473,-0.14641453353894296,-0.01969393080962658
detergent__water_pct__wm,-0.10019664248988235,0.01903788586225783,-0.03507153251852299,0.09218131284064258,0.061462661336133345,-0.11217804299379533,-0.09366959652885265,0.05546357811361577
antioxidant__melting_point_c__count,0.11538446349291863,0.0013932219365970536,0.0884776074035836,0.08452585175100967,-0.01900435395222232,0.08417011995336894,-0.06504724741964542,-0.06628834105941221
textnum__detergent__smiles_для_наиболее_вероятной_(средней)_молекулы_сульфокислоты__smiles_s_count__wm,-0.1025904022619022,-0.03437726523001657,-0.10978860302522228,0.10348609192467681,-0.01853311226786137,-0.06833092495632,-0.09071852624758667,-0.04958194104029291
antiwear__chain_length__count,-0.07815854988817528,0.05807640875985454,-0.08724341538947668,-0.05636807217259065,-0.03712143042138361,0.010717182822031098,0.026378553511608685,-0.19488575588937337
catcount__antiwear__разветвленность_радикала___радикалов__mixed,-0.07284208484592122,0.06184246077805421,-0.08396336392912021,-0.04305964132880869,-0.010548855119050855,-0.0035403891180360546,0.04165524578435414,-0.14017090794496478
catdose__antiwear__тип_спиртового_радикала__primary,0.03203958106613382,0.047220305862808946,-0.09330016342734253,0.18550302748345046,0.049374174906469934,0.07275622481962854,0.05468976846762539,-0.05951535714637046
textnum__base_oil__происхождение__origin_is_mineral__max,0.08454832222134505,0.12077116063077255,0.0473265766311274,-0.04379409123548329,0.1022252413735569,0.06611971337283222,-0.004217827036397333,0.0929141591358378
textnum__antioxidant__номер_cas___smiles__text_length__max,0.09041133963536364,-0.02025871002535267,0.08051456464776083,0.08784070965913028,-0.11428611964810292,0.03517946592729524,0.030591989378611472,0.13285054540756955
base_oil__kv100__wm,0.06135820519774811,0.05152447243365799,-0.1275969140953328,-0.10695662999135189,0.043069220563008506,0.07691703670866055,-0.16694486656432014,-0.15463826203913927
textnum__antioxidant__тип_ао__ao_type_is_phenol__max,0.1441335327678394,0.0015734274883423302,0.026366749115028197,0.06596447464738846,-0.07709174060558369,0.13663723319601126,-0.09067446577568791,-0.043341040014259966
polymer__stability_index_pct__wm,-0.0356648193662455,0.050175925089647924,-0.1037696415102169,0.02812158814293006,-0.03183950815020208,0.01341458428749548,-0.013104674185558746,-0.004475719207742672
