feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
base_oil__kv100__wm,0.07170974873243882,0.13055176602724541,-0.08435473650842586,-0.12980193639915044,0.11308264271369464,-0.01732228714310965,-0.02128738153049113,0.0776628274678808
textnum__antioxidant__тип_ао__ao_type_is_phenol__max,0.1430420632871344,-0.024209696475591465,0.01268980849682671,0.13294107449854656,0.037376127741779015,0.08483897630895959,-0.07576157462441187,-0.12652616581211995
polymer__stability_index_pct__wm,-0.02494495196581936,0.11349893257368518,-0.11456490963311544,0.049599357962947135,-0.00430355064978011,0.00450317241397922,-0.04740098362127204,0.16776617417601658
polymer__stability_index_pct__max,-0.024944951965819268,0.11349893257368518,-0.11456490963311548,0.04959935796294719,-0.0043035506497800975,0.004503172413979255,-0.04740098362127207,0.1677661741760165
textnum__detergent__smiles_для_наиболее_вероятной_(средней)_молекулы_сульфокислоты__smiles_hetero_count__wm,-0.09879998914453046,0.023689396042898183,-0.05020389648749305,0.07055762650444146,-0.08670231465588617,-0.09867988801298375,0.014317271069731179,0.06681367316734811
textnum__antioxidant__тип_ао__text_length__wm,-0.11022143112437299,-0.10772610590956595,0.03484991391247506,-0.0033330285381226793,-0.11868261748027856,-0.00852540700002435,-0.0455903454859602,0.22876444438182117
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,-0.11022143112437299,-0.10772610590956591,0.03484991391247503,-0.0033330285381226723,-0.11868261748027858,-0.008525407000024365,-0.0455903454859602,0.22876444438182122
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.11022143112437299,0.10772610590956591,-0.034849913912475,0.0033330285381226203,0.1186826174802786,0.008525407000024344,0.04559034548596024,-0.22876444438182122
family_total_dose__antiwear,-0.061450362621341646,0.09265341228437253,-0.052160567128662454,-0.19286012059511043,0.16677480329692568,-0.09437147864285578,0.15984896176160818,-0.15800097236641492
catdose__antiwear__тип_спиртового_радикала__mixed,-0.10510949739759258,0.08039420848126198,0.08259945838141154,-0.29100056679640085,0.0612391104085521,-0.08014762640264579,-0.006950388804779193,-0.1059134456306705
textnum__antioxidant__номер_cas___smiles__cas_count__max,0.08079893852235574,-0.0755328091902599,0.05043301556573699,0.16989251634058128,-0.09128354489175507,0.04787522657884572,-0.13927034279822856,0.20028394793996412
catcount__antiwear__тип_спиртового_радикала__mixed,-0.10217815065584408,0.08262647806755032,0.07933342545430992,-0.2942593631803653,0.06428326941057626,-0.08120764641741847,-0.01017694679255089,-0.11728504944451605
base_oil__vi__max,-0.07728868910648232,-0.14053180866277162,0.028281661700414643,0.0895709067508789,-0.1507732168138421,-0.02474454991527879,-0.017830205161976392,0.06577012262521599
antioxidant__bde_xh_kcal__wm,-0.1494662053910015,0.0022127302618776827,-0.03555612855828326,-0.10730409975786474,-0.024025208773164563,0.06330999820379538,0.05644502109900313,-0.07179663911551566
detergent__tbn_gost__max,0.0141514200413761,0.02612050764662633,-0.009664710814492095,0.015730582312552515,0.08522542418481918,-0.016940951983719,-0.04074428725608221,-0.19300744103800208
family_component_count__moly,-0.1047212829631194,-0.15591390111560766,0.03945079973853532,-0.041163875762859195,0.1973683383504704,0.09600062104687015,0.0228251627346306,-0.010885265664523249
family_present__moly,-0.1047212829631194,-0.15591390111560766,0.03945079973853532,-0.041163875762859195,0.1973683383504704,0.09600062104687015,0.0228251627346306,-0.010885265664523249
