component,rank,feature,abs_weight,weight,loading
component_7,2,antiwear__chain_length__wm,0.40504783918817777,0.40504783918817777,0.5334524706594541
component_7,3,severity_x_catalyst,0.2983195240017028,-0.2983195240017028,-0.17433274673927615
component_7,4,base_oil__pour_point_c__max,0.28186458796098757,0.28186458796098757,0.06155274369820166
component_7,5,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.28083629102757923,0.28083629102757923,0.1456352534556212
component_7,6,antiwear__sulfur_pct__wm,0.2551132574219297,-0.2551132574219297,-0.6564043901106249
component_7,7,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.24063908511156945,-0.24063908511156945,-0.4307484734704244
component_7,8,interaction__biofuel_x_zddp,0.19179729928201353,-0.19179729928201353,-0.1855499540052352
component_7,9,regime_load,0.17067870269228802,-0.17067870269228802,-0.22498114804193614
component_7,10,catcount__base_oil__группа_по_api__1,0.1702120087408172,0.1702120087408172,0.0773873962264238
component_7,11,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.1660839388323614,-0.1660839388323614,-0.3036307852704327
component_7,12,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.16608393883236136,0.16608393883236136,0.3036307852704327
component_7,13,antioxidant_balance,0.16608393883236128,-0.16608393883236128,-0.3036307852704327
component_7,14,temperature_x_time,0.15555403837231216,-0.15555403837231216,-0.1840820745801957
component_7,15,biofuel_pct,0.12657051416669624,-0.12657051416669624,-0.21235607097648815
component_8,1,antiwear__sulfur_pct__wm,0.4305095772751926,0.4305095772751926,0.1906330023898909
component_8,2,detergent__tbn_astm__wm,0.35628420199788685,-0.35628420199788685,-0.5423920079910929
component_8,3,antiwear_severity,0.354146141327188,0.354146141327188,0.50892479037565
component_8,4,catalyst_category,0.2993338369934269,0.2993338369934269,0.16874154876637817
component_8,5,base_oil__pour_point_c__max,0.2508310256957588,0.2508310256957588,0.18065367873023983
component_8,6,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.2317159151891942,0.2317159151891942,-0.02856351103947271
component_8,7,severity_x_biofuel,0.2095506904060628,0.2095506904060628,0.1862311538933507
component_8,8,textnum__base_oil__происхождение__origin_is_mineral__wm,0.17607409827515821,-0.17607409827515821,-0.0785447666007286
component_8,9,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.16289842993022222,0.16289842993022222,0.16730970613232937
component_8,10,antioxidant_balance,0.16287257404169808,0.16287257404169808,0.3539746809621597
component_8,11,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.16287257404169805,-0.16287257404169805,-0.3539746809621597
component_8,12,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.162872574041698,0.162872574041698,0.3539746809621596
component_8,13,antioxidant__bde_xh_kcal__wm,0.16140585224880738,-0.16140585224880738,0.02422693074874671
component_8,14,severity_x_catalyst,0.1424959282044977,-0.1424959282044977,-0.06085346536676448
